USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
1RV22CS134,4,3,5,3,,,4,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS135,4,4,5,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS136,4,3,5,3,,,3,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS137,4,4,7,3,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS138,4,4,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS139,4,4,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS140,4,4,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS141,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS142,4,4,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS143,4,4,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS145,4,3,6,4,,,4,7,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS146,4,3,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS147,4,3,5,4,,,3,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS148,4,3,6,4,,,3,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS149,4,3,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS150,2,3,4,2,,,2,3,2,2,,,,,,,,,,,,,,,,,,,,
1RV22CS151,4,3,5,3,,,3,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV22CS153,4,4,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS154,4,4,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS155,3,3,6,3,,,3,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV22CS157,4,3,5,4,,,3,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS158,4,4,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS159,4,3,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
